epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,20309.2,0.82627,0.52505,1.01006,0.93058,0.84128,0.90179,0.65159,0.86395,0.53729,0.94887,0.001552,0.001552,0.001552
130,20459.1,0.81966,0.52423,1.00759,0.9278,0.8408,0.90182,0.65201,0.8635,0.53812,0.94834,0.001486,0.001486,0.001486
131,20608.9,0.81921,0.51888,1.0073,0.92688,0.84233,0.90209,0.6524,0.86331,0.53844,0.94818,0.00142,0.00142,0.00142
132,20759.1,0.81203,0.5146,1.005,0.92599,0.84325,0.90216,0.65287,0.8625,0.53905,0.94811,0.001354,0.001354,0.001354
133,20903.9,0.80965,0.51489,1.00088,0.92599,0.84266,0.90257,0.65298,0.86182,0.53963,0.94799,0.001288,0.001288,0.001288
134,21043.4,0.80712,0.51355,1.00572,0.92595,0.84213,0.90265,0.65366,0.86138,0.53975,0.9479,0.001222,0.001222,0.001222
135,21183.1,0.7902,0.49467,0.99205,0.92563,0.84252,0.90246,0.65429,0.86156,0.53942,0.94824,0.001156,0.001156,0.001156
136,21322.9,0.79506,0.50554,0.9947,0.9273,0.84269,0.90241,0.65465,0.86177,0.53866,0.95013,0.00109,0.00109,0.00109
137,21462.2,0.79745,0.5015,0.99742,0.9281,0.84307,0.90229,0.65493,0.8618,0.53901,0.95029,0.001024,0.001024,0.001024
138,21601.7,0.78296,0.48996,0.99065,0.9285,0.84216,0.90252,0.65563,0.86163,0.53933,0.95057,0.000958,0.000958,0.000958
139,21741.4,0.77882,0.48583,0.99044,0.93009,0.8414,0.90243,0.6563,0.86074,0.53898,0.95036,0.000892,0.000892,0.000892
140,21881,0.78286,0.49342,0.99384,0.93289,0.83981,0.90226,0.65602,0.86009,0.53867,0.95031,0.000826,0.000826,0.000826
141,22041.7,0.68481,0.37931,0.93599,0.93146,0.84174,0.90222,0.65633,0.85964,0.53902,0.95044,0.00076,0.00076,0.00076
142,22178.8,0.66346,0.36032,0.92713,0.93192,0.84051,0.90215,0.65739,0.86012,0.53926,0.95129,0.000694,0.000694,0.000694
143,22316.1,0.65287,0.35762,0.92357,0.93235,0.83919,0.90222,0.65759,0.86092,0.53938,0.95291,0.000628,0.000628,0.000628
144,22453,0.64048,0.35105,0.91479,0.93284,0.83906,0.9021,0.65787,0.86113,0.54031,0.95414,0.000562,0.000562,0.000562
145,22589.9,0.63504,0.3475,0.91221,0.93204,0.83826,0.902,0.65886,0.86089,0.54124,0.9548,0.000496,0.000496,0.000496
146,22727.4,0.62989,0.3386,0.913,0.9328,0.83764,0.90127,0.65899,0.86019,0.542,0.95524,0.00043,0.00043,0.00043
147,22865,0.61802,0.33303,0.905,0.92676,0.84509,0.90171,0.65966,0.85939,0.54328,0.95568,0.000364,0.000364,0.000364
148,23002.2,0.61093,0.3328,0.90446,0.92741,0.84509,0.90191,0.65996,0.85855,0.54369,0.9556,0.000298,0.000298,0.000298
149,23139.6,0.60859,0.32978,0.90806,0.92655,0.84512,0.90122,0.66033,0.85745,0.54411,0.95584,0.000232,0.000232,0.000232
150,23277,0.60039,0.32701,0.90233,0.92513,0.84325,0.90102,0.66029,0.85731,0.5443,0.95696,0.000166,0.000166,0.000166
